ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
2887637,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,35,Southbank,2691
2887638,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,45,Little Collins St-Swanston St (East),2173
2887639,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,46,Pelham St (S),203
2887640,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,47,Melbourne Central-Elizabeth St (East),2354
2887641,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,48,QVM-Queen St (East),358
2887642,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,49,QVM-Therry St (South),161
2887643,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,50,Faraday St-Lygon St (West),502
2887644,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,51,QVM-Franklin St (North),159
2887645,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,52,Elizabeth St-Lonsdale St (South),914
2887646,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,54,Lincoln-Swanston(West),276
2887647,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,55,Elizabeth St-La Trobe St (East),2070
2887648,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,56,Lonsdale St - Elizabeth St (North),789
2887649,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,57,Bourke St Bridge,2122
2887650,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,58,Bourke St - Spencer St (North),2528
2887651,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,59,Swanston St - RMIT Building 80,485
2887652,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,61,Swanston St - RMIT Building 14,1240
2887653,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,62,La Trobe St (North),229
2887654,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,4,Town Hall (West),2950
2887655,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,17,Collins Place (South),646
2887656,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,18,Collins Place (North),626
2887657,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,53,Collins St (North),1153
2887658,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,2,Bourke Street Mall (South),2226
2887659,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,1,Bourke Street Mall (North),3183
2887660,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,3,Melbourne Central,2,802
2887661,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,15,State Library,1904
2887662,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,9,Southern Cross Station,1310
2887663,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,10,Victoria Point,147
2887664,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,12,New Quay,424
2887665,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,11,Waterfront City,90
2887666,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,8,Webb Bridge,301
2887667,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,7,Birrarung Marr,1010
2887668,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,5,Princes Bridge,3084
2887669,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,6,Flinders Street Station Underpass,3462
2887670,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,14,Sandridge Bridge,43
2887671,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,26,QV Market-Elizabeth St (West),744
2887672,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,24,Spencer St-Collins St (North),2552
2887673,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,23,Spencer St-Collins St (South),496
2887674,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,25,Melbourne Convention Exhibition Centre,2355
2887675,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,21,Bourke St-Russell St (West),1071
2887676,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,20,Chinatown-Lt Bourke St (South),816
2887677,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,19,Chinatown-Swanston St (North),1362
2887678,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,22,Flinders St-Elizabeth St (East),3005
2887679,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,27,QV Market-Peel St,159
2887680,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,28,The Arts Centre,1565
2887681,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,31,Lygon St (West),418
2887682,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,30,Lonsdale St (South),1129
2887683,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,34,Flinders St-Spark La,240
2887684,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,39,Alfred Place,384
2887685,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,37,Lygon St (East),210
2887686,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,40,Lonsdale St-Spring St (West),387
2887687,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,36,Queen St (West),496
2887688,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,29,St Kilda Rd-Alexandra Gardens,754
2887689,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,42,Grattan St-Swanston St (West),447
2887690,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,43,Monash Rd-Swanston St (West),145
2887691,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,44,Tin Alley-Swanston St (West),25
2887692,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,35,Southbank,2,292
2887693,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,45,Little Collins St-Swanston St (East),1927
2887694,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,46,Pelham St (S),201
2887695,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,47,Melbourne Central-Elizabeth St (East),1933
2887696,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,48,QVM-Queen St (East),273
2887697,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,49,QVM-Therry St (South),150
2887698,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,50,Faraday St-Lygon St (West),624
